Date,Province_Name,Regency_City_Name,Population
2010-01-01,West Java,Bogor,481388
2010-01-01,West Java,Sukabumi,235842
2010-01-01,West Java,Cianjur,218679
2010-01-01,West Java,Bandung,320512
2010-01-01,West Java,Garut,242233
2010-01-01,West Java,Tasikmalaya,168778
2010-01-01,West Java,Ciamis,113572
2010-01-01,West Java,Kuningan,102391
2010-01-01,West Java,Cirebon,204418
2010-01-01,West Java,Majalengka,115323
2010-01-01,West Java,Sumedang,110158
2010-01-01,West Java,Indramayu,164502
2010-01-01,West Java,Subang,144921
2010-01-01,West Java,Purwakarta,859186
2010-01-01,West Java,Karawang,214419
2010-01-01,West Java,Bekasi,265688
2010-01-01,West Java,Bandung Barat,152208
2010-01-01,West Java,Pangandaran,379518
2010-01-01,West Java,Bogor,958077
2010-01-01,West Java,Sukabumi,301014
2010-01-01,West Java,Bandung,241209
2010-01-01,West Java,Cirebon,293206
2010-01-01,West Java,Bekasi,23561
2010-01-01,West Java,Depok,175561
2010-01-01,West Java,Cimahi,545505
2010-01-01,West Java,Tasikmalaya,639987
2010-01-01,West Java,Banjar,176506
2011-01-01,West Java,Bogor,494375
2011-01-01,West Java,Sukabumi,23765
2011-01-01,West Java,Cianjur,22010
2011-01-01,West Java,Bandung,327283
2011-01-01,West Java,Garut,245043
2011-01-01,West Java,Tasikmalaya,169958
2011-01-01,West Java,Ciamis,114223
2011-01-01,West Java,Kuningan,10302
2011-01-01,West Java,Cirebon,20604
2011-01-01,West Java,Majalengka,115888
2011-01-01,West Java,Sumedang,111008
2011-01-01,West Java,Indramayu,165412
2011-01-01,West Java,Subang,14649
2011-01-01,West Java,Purwakarta,872599
2011-01-01,West Java,Karawang,217229
2011-01-01,West Java,Bekasi,276918
2011-01-01,West Java,Bandung Barat,154512
2011-01-01,West Java,Pangandaran,381729
2011-01-01,West Java,Bogor,976791
2011-01-01,West Java,Sukabumi,304704
2011-01-01,West Java,Bandung,242918
2011-01-01,West Java,Cirebon,295981
2011-01-01,West Java,Bekasi,242707
2011-01-01,West Java,Depok,182318
2011-01-01,West Java,Cimahi,554175
2011-01-01,West Java,Tasikmalaya,644305
2011-01-01,West Java,Banjar,177587
2012-01-01,West Java,Bogor,507312
2012-01-01,West Java,Sukabumi,239319
2012-01-01,West Java,Cianjur,221389
2012-01-01,West Java,Bandung,333968
2012-01-01,West Java,Garut,247711
2012-01-01,West Java,Tasikmalaya,171043
2012-01-01,West Java,Ciamis,114878
2012-01-01,West Java,Kuningan,103649
2012-01-01,West Java,Cirebon,207661
2012-01-01,West Java,Majalengka,116472
2012-01-01,West Java,Sumedang,111792
2012-01-01,West Java,Indramayu,16634
2012-01-01,West Java,Subang,148071
2012-01-01,West Java,Purwakarta,885386
2012-01-01,West Java,Karawang,219939
2012-01-01,West Java,Bekasi,28843
2012-01-01,West Java,Bandung Barat,15674
2012-01-01,West Java,Pangandaran,383915
2012-01-01,West Java,Bogor,995081
2012-01-01,West Java,Sukabumi,308405
2012-01-01,West Java,Bandung,244462
2012-01-01,West Java,Cirebon,298825
2012-01-01,West Java,Bekasi,24986
2012-01-01,West Java,Depok,189198
2012-01-01,West Java,Cimahi,562721
2012-01-01,West Java,Tasikmalaya,648178
2012-01-01,West Java,Banjar,178728
2013-01-01,West Java,Bogor,52021
2013-01-01,West Java,Sukabumi,240842
2013-01-01,West Java,Cianjur,222531
2013-01-01,West Java,Bandung,340548
2013-01-01,West Java,Garut,250241
2013-01-01,West Java,Tasikmalaya,172012
2013-01-01,West Java,Ciamis,115547
2013-01-01,West Java,Kuningan,104279
2013-01-01,West Java,Cirebon,209307
2013-01-01,West Java,Majalengka,117051
2013-01-01,West Java,Sumedang,112512
2013-01-01,West Java,Indramayu,167268
2013-01-01,West Java,Subang,149689
2013-01-01,West Java,Purwakarta,898001
2013-01-01,West Java,Karawang,222538
2013-01-01,West Java,Bekasi,300211
2013-01-01,West Java,Bandung Barat,158878
2013-01-01,West Java,Pangandaran,386129
2013-01-01,West Java,Bogor,101302
2013-01-01,West Java,Sukabumi,311822
2013-01-01,West Java,Bandung,24585
2013-01-01,West Java,Cirebon,301728
2013-01-01,West Java,Bekasi,25704
2013-01-01,West Java,Depok,196218
2013-01-01,West Java,Cimahi,570991
2013-01-01,West Java,Tasikmalaya,651676
2013-01-01,West Java,Banjar,179706
2014-01-01,West Java,Bogor,533115
2014-01-01,West Java,Sukabumi,242211
2014-01-01,West Java,Cianjur,223542
2014-01-01,West Java,Bandung,347039
2014-01-01,West Java,Garut,252619
2014-01-01,West Java,Tasikmalaya,172859
2014-01-01,West Java,Ciamis,11621
2014-01-01,West Java,Kuningan,104908
2014-01-01,West Java,Cirebon,210959
2014-01-01,West Java,Majalengka,117631
2014-01-01,West Java,Sumedang,113152
2014-01-01,West Java,Indramayu,168202
2014-01-01,West Java,Subang,151309
2014-01-01,West Java,Purwakarta,910007
2014-01-01,West Java,Karawang,225012
2014-01-01,West Java,Bekasi,31227
2014-01-01,West Java,Bandung Barat,160951
2014-01-01,West Java,Pangandaran,38832
2014-01-01,West Java,Bogor,103072
2014-01-01,West Java,Sukabumi,315001
2014-01-01,West Java,Bandung,24708
2014-01-01,West Java,Cirebon,304584
2014-01-01,West Java,Bekasi,264251
2014-01-01,West Java,Depok,203351
2014-01-01,West Java,Cimahi,579015
2014-01-01,West Java,Tasikmalaya,654794
2014-01-01,West Java,Banjar,180515
2015-01-01,West Java,Bogor,545967
2015-01-01,West Java,Sukabumi,243422
2015-01-01,West Java,Cianjur,22439
2015-01-01,West Java,Bandung,353411
2015-01-01,West Java,Garut,254872
2015-01-01,West Java,Tasikmalaya,17360
2015-01-01,West Java,Ciamis,116868
2015-01-01,West Java,Kuningan,105542
2015-01-01,West Java,Cirebon,212618
2015-01-01,West Java,Majalengka,118211
2015-01-01,West Java,Sumedang,113727
2015-01-01,West Java,Indramayu,169139
2015-01-01,West Java,Subang,152939
2015-01-01,West Java,Purwakarta,921598
2015-01-01,West Java,Karawang,227358
2015-01-01,West Java,Bekasi,324601
2015-01-01,West Java,Bandung Barat,162942
2015-01-01,West Java,Pangandaran,390483
2015-01-01,West Java,Bogor,104792
2015-01-01,West Java,Sukabumi,318117
